id,课程名,封面地址,课程时长,课程价格,课程简介,讲师,地址 
458,使用D3制作图表,https://www.imooc.com/learn/103, 1小时52分,免费,简介：现在是大数据时代，我们每天都会产生很多的数据，如何通过更直观的方式来展示这些数据并可以让用户马上就可以获得海量信息中的规律呢？使用D3！这个课程会通过实际的例子讲解如何使用D3这个javascript库来制作几种常用类型的图表，让我们来初探数据可视化的奥秘吧！,LuckyYang,https://www.imooc.com/video/4736
459,深入浅出Java多线程,https://www.imooc.com/learn/202, 4小时 0分,免费,简介：多线程是日常开发中的常用知识，也是难用知识。通过本视频，你可以了解Java中多线程相关的基本概念，如何创建，启动和停止线程？什么是正确的多线程，怎样编写多线程程序。在掌握基础之后，将为你展望进阶路线，为进一步的学习提供方向。,Arthur,https://www.imooc.com/video/4208
460,Linux 达人养成计划 II,https://www.imooc.com/learn/111, 2小时30分,免费,简介：本课程介绍Linux系统下操作VI编辑器、创建文本文件、VI的三种操作模式、磁盘分区与格式化、用户及用户组权限的相关操作与管理等，让童鞋们对Linux系统有进一步的理解，对Linux服务器的维护操作更加得心应手。,壞大叔bbUncle,https://www.imooc.com/video/4771
461,炫丽的倒计时效果Canvas绘图与动画基础,https://www.imooc.com/learn/133, 1小时30分,免费,简介：Canvas顾名思义是定义在浏览器上画布，但Canvas不仅仅是一个元素，它更是一套编程的接口，它的出现已然超过了Web基于文档的设计初衷。利用它你可以开发出很多梦寐以求的内容，让编程工作者彻底释放自己的创造力！,liuyubobobo,https://www.imooc.com/video/2493
462,Java眼中的XML---文件读取,https://www.imooc.com/learn/171, 3小时 0分,免费,简介：文件的形态是千变万化的，在Internet中，我们通常使用一种叫做XML的文件来传输或者存储数据。本次课程中，@JessicaJiang将会带领小伙伴们把这种XML文件应用与Java程序结合起来，教你如何应用Java“解析XML”。,JessicaJiang,https://www.imooc.com/video/3659
463,jQuery源码解析（DOM与核心模块）,https://www.imooc.com/learn/222, 4小时 0分,免费,简介：本课程是目前真正意义上第一部完整的jQuery2.1.1版本源码课程，课程共14章，分两个部分，本课程是第一部分课程。本课程主要讲解DOM处理与核心模块部分，可以让我们由浅入深的剖析jQuery库的设计与实现。,Aaron艾伦,https://www.imooc.com/code/4674
464,Linux网络管理,https://www.imooc.com/learn/258, 3小时40分,免费,简介：Linux装好以后是不能和网络中的其他机器进行通信的，本课程会为你解决Linux网络配置的问题。首先会介绍网络基础知识，然后进行IP地址的配置，并总结了在配置网络环境中经常遇到的问题，最后介绍了几种常用远程登录工具的使用，如XShell和SecureCRT。,Tony,https://www.imooc.com/video/5210
465,TypeScript封装播放器组件,https://www.imooc.com/learn/1243, 4小时 3分,免费,简介：1、搭建TS开发环境2、分析案例需求3、了解什么是组件化4、案例样式排版布局5、功能模块组件化开发,西门老舅,https://www.imooc.com/video/21595
466,Map从入门到性能分析,https://www.imooc.com/learn/1242, 3小时37分,免费,简介：Map是开发中，使用频率最高的知识点之一，Map家族也有很多成员，例如HashMap，LinkedMap等，怎样更好的使用Map家族的这些成员，速度效率怎么更好的得以发挥，大谷老师将自己的一些经验与大家分享,大谷,https://www.imooc.com/video/21569
467,Go并发之魂：Goroutine深入浅出【程序人生中的“米其林三星级”并发实战】,https://www.imooc.com/learn/1241, 1小时58分,免费,简介：课程分为两大部分：《食材加工》《起锅烧油》。食材加工意思是说，Goroutine的相关技术是由离散知识点构成，为了将知识串起来，分三部分：●第一部分：进程、线程、协程和Goroutine知识，给小伙伴们做一个并发知识的铺垫，同时点到一些面试中可能会遇到的问题●第二部分：多协程及其设计，尤其是多协程设计，在很多公开的学习资源中，很少有前人分享过，这是面试中必备的加分项●第三部分：Channel的使用、阻塞与避免阻塞起锅烧油部分，我们会使用我们加工好的食材（Goroutine并发基础）去完整做一个白板写代码，让大家把学习到的知识点落实到真实的场景应用中，我们每节课程内容都会辅以图片和完整实例帮助小伙伴们理解。,凰凰,https://www.imooc.com/video/21552
468,Android之实现新闻频道管理,https://www.imooc.com/learn/1244, 3小时 0分,免费,简介：UI用户体验是留住客户的重要手段，本次做出一款炫酷有格调的新闻频道管理。,超低空,https://www.imooc.com/video/21620
469,基于Element-UI二次封装业务组件,https://www.imooc.com/learn/1249, 1小时34分,免费,简介：该课程是基于element-ui二次封装业务组件，因为element-ui是通用型组件库，可能在某一些业务场景并不能满足，所以我们需要在通用组件的基础上做二次封装，来满足我们实际的业务需求。,丶五月的夏天,https://www.imooc.com/video/21695
470,0到1快速构建自己的后台管理系统,https://www.imooc.com/learn/1247, 4小时32分,免费,简介：每一个web应用项目，无论规模大小，总会需要后台管理人员对数据进行管理，比如内容发布、审核等等，这时候就需要一个后台管理系统了。每一个完整的后台管理系统除了需要具备自身业务管理的功能之外，还需要一些非业务性的功能，比如权限控制、日志系统、通用功能模块等。非业务性功能开发难度大且周期长，是很多web项目的痛点。本课程就将通过一个开源框架提供的一系列非业务性功能机制结合我们自身的业务性功能模块来快速一个后台管理系统。,沁尘,https://www.imooc.com/video/21691
471,带你快速入坑ES6,https://www.imooc.com/learn/1246, 2小时 0分,免费,简介：本课程通过对ES6中三个重要特性的详细讲解，使大家体会到ES6语法的强大之处。课程中会结合ES5、ES6的语法对比体现出ES6的语法优势，并且给出实用的学习建议。老师新课已上线，欢迎撒花拍砖《再学JavaScriptES(6-11)全版本语法大全》https://coding.imooc.com/class/444.html#Anchor,谢成,https://www.imooc.com/video/21648
472,人工智能数学基础与Python实战,https://www.imooc.com/learn/1253, 3小时30分,免费,简介：数学不仅是算法的灵魂，也是人工智能的必备基础知识。本课程中涵盖机器学习的核心数学概念，包括矩阵、微积分、概率分析。在知识介绍的同时还会结合实战讲解，帮助大家更加深入理解和运用。对人工智能感兴趣的同学们后续可以关注老师的《人工智能入门：Python实现机器学习》和《Python3入门人工智能掌握机器学习+深度学习提升实战能力》课程，随Flare老师轻松步入人工智能的世界。,flare_zhao,https://www.imooc.com/video/21734
473,Java继承和多态,https://www.imooc.com/learn/1259, 2小时30分,免费,简介：本课程主要学习Java中的重要概念继承和多态，通过案例的方式进行讲解，让你对继承和多态在企业中的应用更加了解。,大牧莫邪,https://www.imooc.com/video/21846
474,Unity3d粒子系统射击特效,https://www.imooc.com/learn/1255, 3小时45分,免费,简介：粒子特效在Unity3d开发中，意义非凡，是改善用户视觉体验的不可或缺的技术手段。本课程主要以案例的方式，讲解演示“粒子系统射击特效”的制作过程。课程内容主要包括：Unity3d粒子系统介绍、常规用法讲解、多种粒子特效制作过程演示等。,齐行超,https://www.imooc.com/video/21770
475,混合开发之DSBridge实现短视频通信,https://www.imooc.com/learn/1263, 3小时30分,免费,简介：混合开发是趋势，本次通过短视频的案例，了解并掌握混合开发流行的数据通信框架DS-bridge。,超低空,https://www.imooc.com/video/22050
476,Python3 入门教程 2020全新版,https://www.imooc.com/learn/1261, 5小时 0分,免费,简介：本门课程是Python3的入门教程，主要介绍Python语言的特点和适用范围，Python基本的数据类型，条件判断和循环，函数，以及Python重要的容器数据类型。希望本教程能够让您快速入门并编写简单的Python程序。,咚咚呛,https://www.imooc.com/video/22002
477,AI小白入学&求职指南,https://www.imooc.com/learn/1266, 2小时40分,免费,简介：本课程主要面向刚毕业高中生、大学生、硕士生等对AI行业充满向往的同学们。课程围绕着“大学小白入学&求职”这个主题，从AI行业的发展现状，职业规划等不同角度，以老司机的视角，帮助大家快速梳理并明确，如何填报志愿、如果进行大学学习规划、如果成为一名合格的算法工程师、读硕士期间如何有效地阅读论文和写作、工作以后如何有效提高个人能力等不同问题，帮助大家提前做好职业规划，助力快速成长，早日成为一名优秀的算法工程师！,会写代码的好厨师,https://www.imooc.com/video/22115
478,Python3 进阶教程 2020全新版,https://www.imooc.com/learn/1264, 5小时 0分,免费,简介：本课程详细介绍Python强大的函数式编程和面向对象编程，以及Python高级程序设计的方法。,咚咚呛,https://www.imooc.com/video/22129
479,数据挖掘中的两大经典算法：K-Means聚类算法和决策树算法,https://www.imooc.com/learn/1271, 3小时 0分,免费,简介：本课程主要讲解数据挖掘中的两大经典算法：K-Means聚类和决策树算法，每个算法会通过理论讲解结合编程实战的形式让大家不仅了解算法的本质还学会算法的应用。,Jack_LY,https://www.imooc.com/video/22307
480,Python数据分析挖掘实战,https://www.imooc.com/learn/1273, 4小时45分,免费,简介：掌握Python数据读取、预处理、分析、挖掘与模型搭建的全流程必备知识。,雨衡,https://www.imooc.com/video/22338
481,Django REST framework前后端分离框架实践,https://www.imooc.com/learn/1274, 3小时 2分,免费,简介：API接口开发无需费时费力，本课程将从零开始引导同学们快速开发自己的RESTfulAPI接口，从Django项目环境搭建、API接口生成数据、Postman接口测试到DRF认证方式的讲解，通过一个典型的课程信息接口（含增删改查），给同学们讲解完DRF中的序列化（serializers）、视图集（viewsets）、路由（routers）、认证（authentication）、权限（permission），为将来前后端分离项目的开发打下基础。,Jack,https://www.imooc.com/video/22359
482,基于WebAR实现3D任务书桌上跳舞,https://www.imooc.com/learn/1267, 1小时 0分,免费,简介：零基础入门3D模型动画基本概念，实现3D模型动画在Web页面的加载和播放，生成简单的VR和WebAR应用。,哈尔老师,https://www.imooc.com/video/22100
483,全方位入门git,https://www.imooc.com/learn/1278, 2小时 0分,免费,简介：git现在已经成为面试和工作中必备必会的一项技能，本次课程会通过多个维度来全方位入门git，让同学们能够在面试和工作中游刃有余，没有阻碍。,丶五月的夏天,https://www.imooc.com/video/22461
484,Tensorflow.js 实现垃圾分类,https://www.imooc.com/learn/1277, 3小时 0分,免费,简介：本课程以Tensorflow.js作为主要框架，覆盖了实现垃圾分类App所需要的样本准备、模型构建、模型训练、模型预测、H5应用编写等全链路知识的讲解。带你在快速完成应用的同时，进一步加强对机器学习的认识！另，对机器学习以及Tensorflow.js感兴趣的同学，可以关注一下老师的实战《JavaScript玩转机器学习打造你人生中的第一个AI项目》https://coding.imooc.com/class/408.html专为前端人打造的人工智能课程！！,lewis,https://www.imooc.com/video/22439
485,Maven项目依赖管理,https://www.imooc.com/learn/1282, 3小时 9分,免费,简介：本套课程主要学习Maven的使用方式，从理念到实践、基础到应用，深入浅出的讲解配合贯穿全程的练习，让你深入掌握基于Maven管理Java项目的方式,大牧莫邪,https://www.imooc.com/video/22533
486,MySQL8.0零基础入门之从青铜到钻石,https://www.imooc.com/learn/1281, 5小时30分,免费,简介：本课程使用目前最主流的MySQL8进行教学，主要学习操作数据库的SQL语句语法：DDL，DML以及DQL分组，分页，范围，排序等条件查询的使用以及Navicat连接工具的操作、数据库的主键，唯一，非空约束等,欧阳熊猫,https://www.imooc.com/video/22543
487,六个案例学会响应式布局,https://www.imooc.com/learn/1285, 2小时41分,免费,简介：主要学习媒体查询、flex弹性布局及伸缩比例的计算，通过rem作为度量单位进行弹性布局的方法,大谷,https://www.imooc.com/video/22669
488,JAVA 函数式编程,https://www.imooc.com/learn/1284, 2小时52分,免费,简介：本课程以Java11为编译环境，讲解了Java对函数式编程支持，以及用实战小例子演示如何使用函数式简洁优雅的直击问题核心逻辑。另，老师新作《SpringSecurity+OAuth2精讲多场景打造企业级认证与授权》https://coding.imooc.com/class/455.html也上线啦，课程中将结合前后端分离的权限管理应用，基于从单体到微服务的演进，精讲主流安全框架SpringSecurity5.x的核心技术，一站式覆盖目前企业主流认证授权的方方面面，感兴趣的同学，可以关注一下，欢迎撒花拍砖~~,接灰的电子产品,https://www.imooc.com/video/22633
489,【首发】零基础快速上手HarmonyOS（鸿蒙）开发,https://www.imooc.com/learn/1283, 5小时 0分,免费,简介：2020年9月10日，华为在HDC开发者大会正式上发布鸿蒙2.0，这个属于国人自己的系统，对开发者有何意义？让我们跟着CrazyCodeBoy老师一起探究来自底层的轮子HarmonyOS。,CrazyCodeBoy,https://www.imooc.com/video/22646
490,Ajax实战案例之列表渲染,https://www.imooc.com/learn/1289, 4小时14分,免费,简介：本课程通过一个简单的例子，由浅入深，循序渐进的介绍了Ajax的相关概念、原理、实现方式和应用方法，了解Ajax开发模式与动态网站是如何制作的。感受Ajax对传统交互带来的优势，学习如何提升用户体验并完成复杂应用交互。课程涉及前端、前端模板、express、JSON、axios库等相关内容，是非常适合Ajax学习的入门课程。,西门老舅,https://www.imooc.com/video/22727
491,吃透面向对象【Golang实现版】,https://www.imooc.com/learn/1286, 1小时41分,免费,简介：面向对象是高级编程语言的最基础、最核心、最关键的理论基石。但是你真的吃透了面向对象么？,我是波哥,https://www.imooc.com/video/22682
492,MyBatis-Plus + SpringBoot实现简单权限管理,https://www.imooc.com/learn/1294, 5小时12分,免费,简介：通过SpringBoot与MyBatis-Plus的整合来完成权限系统实现，重点是通过案例学习更多MyBatis-Plus应用技巧！,老猿,https://www.imooc.com/video/22848
493,Vue Element＋Node.js开发企业通用管理后台系统,https://coding.imooc.com/class/401.html,17小时,￥348.00,VueElement+Node.js开发企业通用管理后台系统,null,null
494,元旦贺卡,https://www.imooc.com/learn/1298, 2小时26分,免费,简介：本课程结合cavas、动画、JS完成一个新年祝福的H5微场景。,西门老舅,https://www.imooc.com/video/22908
495,高性能 FastAPI 框架入门精讲,https://www.imooc.com/learn/1299, 5小时40分,免费,简介：体验新一代高性能PythonWeb框架，本课程将从HellowWorld开始引导同学们学习FastAPI框架的所有知识点。从框架特性一览，到ASGI服务介绍，以全球新冠病毒感染数据查询为功能场景，依次讲解FastAPI的API交互文档使用，如何使用Pydantic定义和规范数据格式、类型，各种请求参数和验证，Jinja2模板渲染和Static静态文件配置，FastAPI的响应处理和配置，通过代码示例讲解依赖注入系统的所有知识，数据库配置与SQLAlchemy的使用，大型工程应该如何设计目录结构。框架的安全、认证、授权，中间件开发，跨域资源共享的实现，后台任务和测试用例的编写。,Jack,https://www.imooc.com/video/22971
496,Linux速成班,https://www.imooc.com/learn/1291, 5小时 0分,免费,简介：对Linux感兴趣，对Linux运维感兴趣，想入门Linux运维的人员，为找工作增加经验而学习,wulekong,https://www.imooc.com/video/22792
497,Vue全家桶实战 从零独立开发企业级电商系统,https://coding.imooc.com/class/397.html,,￥348.00,Vue全家桶实战从零独立开发企业级电商系统,null,null
498,新版Nginx体系化深度精讲，从青铜到王者的飞跃,https://coding.imooc.com/class/405.html,17小时,￥299.00,新版Nginx1.17体系化深度精讲给开发和运维的刚需课程,null,null
499,Phaser从0到1实战微信2D小游戏【钢琴方块】,https://www.imooc.com/learn/1295, 5小时28分,免费,简介：本课程将带领大家结合一个关于钢琴的微信小游戏，认识2D游戏引擎Phaser的核心应用。从H5环境搭建到核心API的学习；从微信环境的适配，到能实战开发一个关于微信小游戏。从基础入门到实战开发，将会逐步带你揭开Phaser的神秘面纱，体验他的强大之美。在学习技术的同时，老师还会分享一些钢琴乐理知识，希望能和大家一起快乐敲代码！,天天敲代码,https://www.imooc.com/video/22809
500,实战支付+电商双系统   玩“赚”Java技术栈 ,https://coding.imooc.com/class/392.html,17小时,￥348.00,一次学习双倍收获支付+电商平台Java双系统实战,null,null
501,新版Kotlin从入门到精通,https://coding.imooc.com/class/398.html,24小时,￥299.00,一课掌握Kotlin突破开发语言瓶颈,null,null
502,图解+仿写 新手都能学懂的SpringBoot源码课,https://coding.imooc.com/class/404.html,13小时30分钟,￥366.00,全方位深入解析最新版SpringBoot源码,null,null
503,vue3.0实现todolist,https://www.imooc.com/learn/1300, 2小时40分,免费,"简介：vue3.0已经发布正式版本,必将成为未来的前端趋势和必备技能,本课程会通过一个小而全的todolist案例,带同学们全方位的入门vue3.0,让同学们能够把握先机,快人一步。",丶五月的夏天,https://www.imooc.com/video/23020
504,数据中台之数据汇聚整合，消除数据孤岛,https://www.imooc.com/learn/1297, 2小时25分,免费,简介：本课程会依次向大家介绍中台的诞生背景、数据中台的架构以及如何进行合理得技术选型，并结合一个通用的关系型数据库同步至HDFS的工具套件实现，带大家拓展了基于Spark的多源异构数据同步工具的设计思路。,xiaochen,https://www.imooc.com/video/22936
505,性能优化+架构迭代升级,https://coding.imooc.com/class/403.html,14小时,￥299.00,性能优化+架构迭代升级Go读书社区web开发与架构优化,null,null
506,TP6.0从0到1构建高并发电商服务系统,https://coding.imooc.com/class/407.html,,￥448.00,全流程开发TP6.0实战高并发电商服务系统,null,null
507,JavaScript玩转机器学习-Tensorflow.js项目实战,https://coding.imooc.com/class/408.html,15小时,￥348.00,JavaScript玩转机器学习-Tensorflow.js项目实战,null,null
508,Spark + ElasticSearch ,https://coding.imooc.com/class/410.html,13小时,￥328.00,Spark+ElasticSearch构建电商用户标签系统实现精准营销,null,null
509,领略Rust之美，挑战双高语言,https://www.imooc.com/learn/1301, 1小时45分,免费,简介：Rust连续五年（2016~2020）在StackOverflow开发者调查的“最受喜爱编程语言”评选项目中蝉联桂冠，而Rust又以高难度，高门槛，学习曲线陡峭和概念抽象而驰名。本课从Rust语言基础出发，关注Rust语言本身特点，使用最简程序，排除使用场景少、概念理解困难的分支内容干扰，力求在最短的时间帮助小伙伴们上手Rust开发，领略Rust编程之美。,叶枭,https://www.imooc.com/video/23062
510,Jetpack开发短视频应用实战,https://coding.imooc.com/class/402.html,18小时,￥348.00,开发商业级热门短视频App掌握Jetpack组件库,null,null
511,全面系统学测试 ,https://coding.imooc.com/class/411.html,27小时10分钟,￥388.00,从零开始学测试一步迈进互联网,null,null
512,玩转Java并发工具，精通JUC，成为并发多面手,https://coding.imooc.com/class/409.html,18小时52分钟,￥399.00,玩转Java并发工具，精通JUC，成为并发多面手,null,null
513,Python3入门人工智能  ,https://coding.imooc.com/class/418.html,21小时,￥448.00,Python3入门人工智能掌握机器学习+深度学习提升实战能力,null,null
514,掌握Java项目面试武功心法，面试弯道超车,https://coding.imooc.com/class/413.html,22小时,￥399.00,解决大厂项目面轻松打动面试官,null,null
515,玩转热门框架 用企业级思维 开发通用够硬的大数据平台,https://coding.imooc.com/class/417.html,15小时,￥448.00,玩转热门框架用企业级思维开发通用够硬的大数据平台,null,null
516,TypeScript －系统入门到项目实战,https://coding.imooc.com/class/412.html,14小时,￥266.00,一站掌握TypeScript基础入门+语法进阶+高级语法,null,null
517,剑指Java自研框架，决胜Spring源码,https://coding.imooc.com/class/420.html,26小时30分钟,￥399.00,Spring源码轻松学一课覆盖Spring核心知识点,null,null
518,基于Spark2.x开发企业级个性化推荐系统,https://coding.imooc.com/class/431.html,15小时,￥388.00,Spark2.x+协同过滤算法，开发企业级个性化推荐系统,null,null
519,实战企业级项目 践行App重构之路,https://coding.imooc.com/class/406.html,15小时,￥299.00,还原大厂App重构过程完成企业级项目重构,null,null
520,编程必备基础-音视频小白系统入门课,https://coding.imooc.com/class/415.html,22小时,￥288.00,音视频基础+ffmpeg原理+项目实战一课完成音视频技术开发入门,null,null
521,React+TypeScript高仿AntDesign开发企业级UI组件库,https://coding.imooc.com/class/428.html,17小时,￥448.00,Typescript+React高仿Antd从零到一打造自己的组件库,null,null
522,程序员三大浪漫--编译原理+操作系统+图形学,https://coding.imooc.com/class/432.html,18小时,￥399.00,大学计算机必修课新讲--编译原理+操作系统+图形学,null,null
523,专为程序员设计的高等数学课,https://coding.imooc.com/class/427.html,14小时30分钟,￥299.00,专为程序员设计的数学补习班贴合实际开发讲解高等数学,null,null
524,Kafka多维度系统精讲，从入门到熟练掌握,https://coding.imooc.com/class/434.html,13小时,￥348.00,Kafka多维度系统精讲，从基础入门到实战案例开发,null,null
525,Spring Cloud + Vue 前后端分离   ,https://coding.imooc.com/class/416.html,,￥388.00,SpringCloud+Vue前后端分离开发企业级在线视频课程系统,null,null
526,ReactNative+TypeScript仿喜马拉雅开发App,https://coding.imooc.com/class/435.html,28小时,￥299.00,ReactNative+TypeScript仿喜马拉雅开发App,null,null
527,利用Go优越的性能,https://coding.imooc.com/class/436.html,30小时,￥348.00,(打造简历金牌项目)Vue+Go开发企业级微服务网关项目,null,null
528,uni-app 快速入门  从零开始实现新闻资讯类跨端应用,https://coding.imooc.com/class/433.html,19小时,￥348.00,uni-app入门到实战以项目为导向掌握完整开发流程,null,null
529,PyTorch入门到进阶 ,https://coding.imooc.com/class/440.html,26小时30分钟,￥499.00,PyTorch入门到进阶实战计算机视觉与自然语言处理项目,null,null
530,全技术栈企业级性能调优万花筒,https://coding.imooc.com/class/442.html,25小时,￥488.00,Java性能调优6步实现项目性能全面升级+面试高频性能问题讲解,null,null
531,再学JavaScript  ES(6-11)全版本语法大全,https://coding.imooc.com/class/444.html,19小时,￥299.00,JavaScriptES(6-11)全版本语法每个前端都需要的基础课,null,null
532,Java支付全家桶：企业级各类支付手段一站式解决方案 ,https://coding.imooc.com/class/441.html,26小时,￥388.00,Java支付全家桶企业级各类支付手段一站式解决方案,null,null
533,Unity 3D基础之变体Transform,https://www.imooc.com/learn/989, 1小时10分,免费,简介：全面讲解Transform组件的基础使用方法.通过实践，实现在Unity中控制游戏对象移动、缩放、旋转。附带讲解一些优化相关的小知识。,RayYang,https://www.imooc.com/video/17100
534,区块链技术核心概念与原理讲解,https://www.imooc.com/learn/988, 1小时 0分,免费,简介：区块链已火遍全球，行业人才急缺，岗位炙手可热，学习正当时，本次特邀登链科技首席技术官(Tiny熊），为你讲解区块链技术核心概念与原理。,Tiny,https://www.imooc.com/video/17139
535,从1到N实战Go改造PHP“慕优酷”,https://coding.imooc.com/class/443.html,25小时,￥448.00,仿阿里系优酷网-企业级Go改造PHP项目踩坑避坑指北,null,null
536,理论+实战 构建完整JVM知识体系,https://coding.imooc.com/class/429.html,17小时,￥348.00,构建JVM知识体系解决Java工程师应会必会的工作/面试难点,null,null
537,Storm基础入门,https://www.imooc.com/learn/991, 1小时19分,免费,简介：Storm作为实时流式计算中的佼佼者，因其良好的特性使其使用场景非常广泛。Zookeeper作为分布式协调服务框架，因其完善的数据一致性保证特性使其成为各框架必备组件。本课分为三大部分：第一部分介绍Storm的起源背景、使用场景及特性；第二部分了解Storm的架构体系及组件作用；第三部分介绍Zookeeper的基础知识及动手实践Zookeeper安装配置与集群搭建；第四部分动手实践Storm安装配置与集群搭建。,Coldface,https://www.imooc.com/video/17151
538,MAYA-材质基础入门,https://www.imooc.com/learn/985, 1小时 1分,免费,简介：本课程内容首先阐述了Maya材质在Maya动画制作流程中的位置、作用，然后介绍了Maya超级材质编辑器的使用，最后讲解了Maya材质球的一些基本属性。,白完人,https://www.imooc.com/video/17023
539,.Net Core 开发电商后端API   ,https://coding.imooc.com/class/451.html,16小时,￥388.00,.NetCore开发电商后端API从0到精通吃透RESTful,null,null
540,Kotlin开发AI语音助手App ,https://coding.imooc.com/class/438.html,20小时,￥366.00,Kotlin+组件化打造自己的AI语音助手App带你解锁语音交互技能包,null,null
541,APP性能优化之内存优化,https://www.imooc.com/learn/777, 1小时15分,免费,简介：1、讲解Android系统内存管理方式里的内存分配回收，并实战演示监控内存的方法。2、讲解APP优化的几种方法，主要涉及数据结构优化、对象复用优化、内存泄漏优化方法，最后是演示效果。3、APP内存优化里主要的OOM问题进行剖析，讲解优化方法和方案，并实战代码讲解效果。,hexter,https://www.imooc.com/video/13669
542,Android O(8.0)通知栏解决方案,https://www.imooc.com/learn/981,32分,免费,简介：本课程为大家介绍NotificationChannelAPI，Android8.0兼容适配的重要性，Android8.0ChannelNotification的管理，自定义ChannelNotification与交互。,LovelyChubby,https://www.imooc.com/video/16995
543,Spring Boot进阶之Web进阶,https://www.imooc.com/learn/810, 1小时43分,免费,简介：《2小时学习SpringBoot》后续进阶课程，主要讲述了SpringBoot针对Web方面的相关技巧讲师实战课程《SpringBoot微信点餐系统》http://coding.imooc.com/class/117.html《SpringCloud微服务实战》http://coding.imooc.com/class/187.html均已上线,廖师兄,https://www.imooc.com/video/14336
544,Activiti7精讲&Java通用型工作流开发实战,https://coding.imooc.com/class/454.html,16小时30分钟,￥348.00,Activiti7工作流开发实战打造通用型可视化UML工作流系统,null,null
545,redis的入门与应用,https://www.imooc.com/learn/809, 1小时 3分,免费,简介：Redis是php项目中使用到的主要缓存服务，我们在整个教程中会介绍redis的安装使用，以及PHP如何使用redis，并且介绍了redis最常也是必知必会的五大数据结构及常用命令,轩脉刃,https://www.imooc.com/video/14315
546,Restful API实战,https://www.imooc.com/learn/811, 2小时25分,免费,简介：随着移动互联网的发展，客户端层出不穷，app，web，微信端等等，而后端业务逻辑基于是一致的，如何做到业务逻辑“一次编写，随时接入”？答案是通过远程调用API，而目前比较火的方案是“Restfulapi”。简单来说，RESTfulAPI是基于HTTP协议产生的一种相对简单的API设计方案，属于无状态传输。本次教程将从“是什么-为什么-怎么做”的顺序跟大家一起来学习如何理解以及在生产环境下如何设计RestfulAPI。,微信xialeis...,https://www.imooc.com/video/14351
547,Android语音词典,https://www.imooc.com/learn/786, 1小时29分,免费,简介：讲解第三方讯飞语音如何使用，如何实现数据解析，如何实现中英文词典的查找功能,T-w,https://www.imooc.com/video/14269
548,前端性能优化 ,https://coding.imooc.com/class/448.html,12小时,￥299.00,前端性能优化企业级解决方案6大角度+大厂视野实现项目全面优化,null,null
549,如何写好测试用例,https://www.imooc.com/learn/816, 1小时25分,免费,简介：本课程首先会对测试用例做一个介绍，然后介绍需求分析与测试点编写，然后编写测试用例，然后对测试用例进行评审，以及教大家如何管理测试用例，最后对课程进行总结。,浪晋,https://www.imooc.com/video/14410
550,iOS-特效相机(上集),https://www.imooc.com/learn/818,38分,免费,简介：本课程为特效相机课程第一部分，重点为大家介绍数字图像处理基础知识、使用场景以及常用框架，给大家一个数字图像处理感性的认识，培养对数字图像处理的兴趣。,Jones,https://www.imooc.com/video/14429
551,机器学习-实现简单神经网络,https://www.imooc.com/learn/813, 1小时54分,免费,简介：本课程将构建AlphaGo的深度学习技术，通过通俗易懂的方式，向你娓娓道来。并通过Pyhton构建起一个简单的神经网络，通过“说做”结合，让大家一窥深度学习的强大魅力。课程分为两部分，首先讲述深度学习有关的基本概念和算法。第二部分通过Python实现第一部分所讲的算法，通过编码的方式，实现两个简单但功能强大的神经网络，以期通过实践的方式让大家加深对概念和算法的理解。,coding迪斯尼,https://www.imooc.com/video/14390
552,Spark从零开始,https://www.imooc.com/learn/814, 2小时18分,免费,简介：Spark作为新一代大数据计算引擎，因为内存计算的特性，具有比hadoop更快的计算速度。本教程涉及Spark基础概念RDD，KeyValueRDD，RDD的常用Transformation和Action操作等,Terby,https://www.imooc.com/video/14388
553,实例妙解Sed和Awk的秘密,https://www.imooc.com/learn/819, 3小时 8分,免费,简介：作为本课分为三部分，第一部分介绍了正则表达式的符号规则和组合方法，让你快速学会正则表达式；第二部分通过具体实例讲解sed的各个应用功能，如行处理、替换等；第三部分通过典型案例演示了awk的使用功能，如制表、统计等。,annieose,https://www.imooc.com/video/14507
554,Java定时任务调度工具详解之Quartz篇,https://www.imooc.com/learn/846, 2小时53分,免费,简介：本课程是系列课程Java定时任务调度工具详解中的Quartz篇，旨在通过详细讲述Java定时调度工具的基本概念、工具，和这些工具里面包含的各个组件之间的关系，以及如何使用这些工具来实现定时调度功能，让学生能够对Java定时调度工具有一个清晰准确的认识。结合一些经典使用场景通过手把手的命令行操作进行教学，使同学们得心用手地使用这些定时调度工具来实现自己想要的功能。讲师实战课程已经上线，从0开始部署项目，掌握SSM和SpringBoot两大主流框架。详解SSM无缝迁移到SPRINGBOOT+MYBATIS的框架转换，远程调试项目并与微信结合，利用阿里SUI，实现前后端的全栈开发。详情：http://coding.imooc.com/learn/list/144.html,翔仔,https://www.imooc.com/video/15151
555,iOS推送通知,https://www.imooc.com/learn/849, 1小时48分,免费,简介：本课程将带你了解iOS的push原理，如何搭建push环境，push的交互设置，以及该如何实现推送消息。并且会给大家分别讲解LocalPush的一般用法和高级用法，以及push的相关业务功能介绍。,TerryG,https://www.imooc.com/video/15141
556,星级评分原理和实现（下）,https://www.imooc.com/learn/848, 1小时41分,免费,简介：本课程总会讲解如何使用纯CSS代码提交评分、js利用雪碧图等来实现星级评分如何点亮半个星星、四分之一课星星。,Alex Wang,https://www.imooc.com/video/15100
